gemini


Alavés - Getafe | 1 | La lesión de rotura de ligamento de Uche desarticula al Getafe frente a un Alavés reforzado en defensa con Valentini.
Sevilla - Rayo Vallecano | 1 | El Sevilla dispone de todos sus fichajes inscritos mientras el Rayo acusa la inestabilidad por los traspasos inminentes de Mendy y Chavarría.
Racing de Santander - Villarreal | 2 | La jerarquía técnica y la profundidad de banquillo del Villarreal terminan imponiéndose al ímpetu del recién ascendido Racing de Santander.
Espanyol - Levante | 1 | La sanción arrastrada de Brugué merma la delantera del Levante equilibrando las ausencias por lesión de Puado y Kike García en el Espanyol.
Celta - Osasuna | 1 | Osasuna afronta el debut con plantilla mermada tras vender a Víctor Muñoz al Liverpool y perder por lesión a Rosier frente al Celta.
Andorra - Ceuta | 1 | La AD Ceuta viaja con nueve bajas confirmadas y solo dieciséis convocados ante un Andorra que habilitó la inscripción de sus once fichajes.
Cádiz - Celta Fortuna | 1 | El Celta Fortuna compite con un bloque juvenil sin fichajes sénior al carecer de opción legal de ascenso frente al veterano Cádiz.
R. Oviedo - Granada | 1 | El Real Oviedo llega rodado tras vencer al Le Havre mientras el Granada afronta el choque con cuatro futbolistas aún sin inscribir.
Mallorca - R. Valladolid | X | La fase de reconstrucción del Mallorca tras el descenso se equilibra con la solvencia goleadora exhibida por el Valladolid en la pretemporada.
Eibar - Tenerife | 1 | El ritmo de presión alta del Eibar en Ipurua decanta el choque ante un Tenerife recién ascendido desde Primera RFEF.
Burgos - Córdoba | X | La solidez defensiva del Burgos en El Plantío y el rigor táctico del Córdoba generan un duelo igualado bajo intenso calor veraniego.
Girona - Leganés | 1 | El Girona impone su condición de principal favorito al ascenso y el caudal de su plantilla para superar al Leganés en Montilivi.
Las Palmas - Albacete | 1 | El Albacete acumula cinco titulares lesionados y viaja a Canarias debilitado tras una pretemporada repleta de bajas ante Las Palmas.
Sporting - Sabadell | 1 | El empuje de El Molinón y la pegada de Otero superan la falta de rodaje en la categoría del recién ascendido Sabadell.
Deportivo - Elche | 1-1 | El equilibrio entre el empuje de Riazor y el momento del Elche tras golear al Toulouse deriva en tablas competitivas.
GEMINIt | 1=11  X=2  2=1 | pleno=1-1


CLAUDE:


Alavés - Getafe | X | Garcés sancionado por FIFA en el Alavés y Getafe sin Juanmi Jiménez; dos estilos físicos de Bordalás y Coudet que igualan el arranque.
Sevilla - Rayo Vallecano | 1 | Debut de Luis García Plaza en el Pizjuán tras perder la pretemporada ante el Leverkusen; el Rayo estrena a Beñat San José sin Íñigo Pérez.
Racing de Santander - Villarreal | X | Ascendido que debuta en el Sardinero ante un Villarreal que también estrena a Iñigo Pérez en el banquillo y con bajas en defensa.
